#,RefDes,Value,Name,Number of Pins,Pattern,Manufacturer,Quantity,Digikey,Digikey Alternate,Description,Other Distributor
1,A1,,PCB-ANTENNA,2,BLE_MIFA_PCB_ANTENNA,DNI,1,NA,,,
2,"C1, C2, C7, C9, C11, C13, C15, C17, C19, C21, C23, C30, C35, C41",1uF,CAP_0402,2,CAP_0402,,14,587-2477-1-ND,,CAP CER 1UF 16V X5R 0402 ,
3,"C3, C37, C40",4.7uF,CAP_0402,2,CAP_0402,,3,1276-6836-1-ND,311-3482-1-ND,CAP CER 4.7UF 16V X5R 0402 ,
4,"C4, C5, C6, C8, C10, C12, C14, C16, C18, C20, C22, C24, C26, C27, C36, C39",0.1uF,CAP_0402,2,CAP_0402,,16,311-1338-1-ND,,CAP CER 0.1UF 16V X7R 0402 ,
5,C25,18pF,CAP_0402,2,CAP_0402,,1,490-6204-1-ND,,CAP CER 18PF 50V C0G/NP0 0402 ,
6,C28,36pF,CAP_0402,2,CAP_0402,,1,490-11389-1-ND,,CAP CER 36PF 50V C0G/NP0 0402,
7,"C33, C34, C38",10uF,CAP_0402,2,CAP_0402,,3,587-3237-1-ND,,CAP CER 10UF 4V X5R 0402 ,
8,"D1, D4",,PMEG2005AEA,2,SOD-323,NXP-Philips,2,1727-3854-1-ND,1727-5186-1-ND,DIODE SCHOTTKY 20V 500MA SOD323,
9,"D2, D3",,MMSD4148T1G,2,SOD-123,ON Semiconductor,2,MMSD4148T1GOSCT-ND,,DIODE GEN PURP 100V 200MA SOD123,
10,"J1, J4",,TE 1981813-1,2,CONN-1x2S/2.85x4.4/TE,TE,2,A107952CT-ND,,CONN ASSY RECPT 2POS,
11,J2,,MOLEX 0510210300,3,HDR-1x3T/1.25/Sh3.4x5.5,Molex,1,WM1732-ND ,,CONN HEADER 3POS 1.25MM VERT TIN,
12,J3,,MOLEX 0530470210,2,HDR-1x2T/1.25/Sh3.4x4.25,Molex,1,WM1731-ND,,CONN HEADER 2POS 1.25MM VERT TIN,
13,J5,,HIROSE FH34SRJ,30,CONN-FFC-30/17x4x0.5,Hirose,1,HFT430CT-ND,,CONN FFC FPC 30POS 0.50MM R/A,
14,J6,,CON2M,2,CAP_1005,,1,NA,,,
15,L1,10uH,INDUCTOR,2,Taiyo Yuden 4.9x4.9x1.0,,1,587-3579-1-ND,,FIXED IND 10UH 900MA 300 MOHM ,
16,Q1,,MMBT3904,3,SOT-523,Philips-NXP,1,MMBT3904T-TPCT-ND,MMBT3904T-FDICT-ND,TRANS NPN 40V 0.2A SOT523 ,
17,"R1, R8, R11",120k,RES_0402,2,RES_0402,,3,311-120KLRCT-ND,541-120KLCT-ND,RES SMD 120K OHM 1% 1/16W 0402,
18,"R2, R3",2k,RES_0402,2,RES_0402,,2,311-2.0KJRCT-ND,,RES SMD 2K OHM 5% 1/16W 0402,
19,R7,1.05M,RES_0402,2,RES_0402,,1,541-1.05MLCT-ND,,RES SMD 1.05M OHM 1% 1/16W 0402,
20,R9,560k,RES_0402,2,RES_0402,,1,311-560KLRCT-ND,,RES SMD 560K OHM 1% 1/16W 0402,
21,"R10, R12",50,RES_0402,2,RES_0402,,2,541-2884-1-ND,,RES SMD 49.9 OHM 1% 1/5W 0402 ,
22,"S1, S2, S3, S4",,KMR231NGLFS,4,KMR-2,C&K,4,CKN10246CT-ND,,SWITCH TACTILE SPST-NO 0.05A 32V,
23,U1,,LTC3240EDC-3.3,7,DFN-6/2x2x0.5,TI,1,LTC3240EDC-3.3#TRMPBFCT-ND,,IC REG SWITCHD CAP 3.3V 6DFN,
24,U2,,CY8C4248LQI,57,QFN-56/7x7x0.4,Cypress,1,-,,MCU PSoC4 BLE,Mouser: 727-CY8C4248LQIBL583
25,"U3, U8",,23LC1024-I/ST,8,TSSOP-8,Microchip,2,23LC1024-I/ST-ND,,IC SRAM 1MBIT 20MHZ 8TSSOP,
26,U4,,ICS-43434,6,ICS-43434,InvenSense,1,1428-1066-1-ND,,MIC MEMS MULTI-MODE OMNI -26DB,
27,U5,,MMA8653FCR1,10,DFN-10RNP/2x2x0.4,NXP,1,MMA8652FCR1CT-ND,MMA8653FCR1CT-ND,ACCELEROMETER 2-8G I2C 10DFN,Mouser: 841-MMA8653FCR1
28,U6,,MOLEX 22-23-2051,5,HDR-1x5T/2.54,,1,WM4203-ND,,CONN HEADER 5POS .100 VERT TIN,
29,U7,,MCP1661,5,SOT23-5,Microchip,1,MCP1661T-E/OTCT-ND,,IC REG BOOST ADJ 0.2A SOT23-5,
30,Y1,,ECS-240-8-36CKM,4,XTAL-ECS-4/2.5x2.0,ECS,1,XC1557CT-ND,,CRYSTAL 24.0000MHZ 8PF SMD,
31,Y2,,ECS-.327-12.5-34B,2,XTAL-ECS-2/3.2x1.5,ECS,1,XC1617CT-ND,,CRYSTAL 32.7680KHZ 12.5PF SMD,
32,,,,,,,1,WM1720-ND,,CONN HOUSING 2POS 1.25MM NATURAL,
33,,,,,,,5,WM1775CT-ND,,CONN TERM FEMALE 28-32AWG TIN,
34,,,,,,,1,WM1721-ND,,CONN HOUSING 3POS 1.25MM NATURAL,
35,,,,,,,2,1981812-1-ND,,CABLE ASSY 2P WITH PACKING,Avnet
